,plantName,cleanedPlantName,leaflength,,,,
450,Prunus spp. (cherry),Prunus spp. (cherry),,,255088,as Prunus,
451,Punica spp.,Punica,,,255967,,
452,Camptotheca spp.,Camptotheca,,,211351,,
453,Viburnum awabuki,Viburnum awabuki,,,269502,"as Viburnum odoratissimum var. awabuki	",
454,Eriobotrya japonica,Eriobotrya japonica,,,21686,,
455,Silverbell spp.,Silverbell,,,27702,as Halesia carolina,
457,Pussy willow,Pussy willow,,,47823,as Salix discolor,
458,Prunus spp.(plum),Prunus spp.(plum),,,255088,as Prunus,
459,Cockspur hawthorn,Cockspur hawthorn,,,15068,as Crataegus crus-galli,
460,Honey locust,Honey locust,,,26351,as Gleditsia triacanthos,
461,Winged euonymus,Winged euonymus,,done,23252,as Euonymus alatus,
462,Prunus laurocerasus,Prunus laurocerasus,,,44364,,
463,Japanese cherry,Japanese cherry,,done,44416,as Prunus serrulata,
464,Alnus crispa,Alnus crispa,,,202253,as Alnus viridis ssp. Crispa,
465,Rosa acicularis,Rosa acicularis,,,46715,,
466,Rubus idaeus,Rubus idaeus,,,47124,,
467,Lonicera involucrata,Lonicera involucrata,,,34140,,
468,Franklin tree,Franklin tree,,,25236,as Franklinia alatamaha,
470,Prunus salicina,Prunus salicina,,,44409,,
471,Na,Na,,,NA,,
472,Tilia tomentosa,Tilia tomentosa,,,54348,,
473,Ulmus carpinifolia,Ulmus carpinifolia,,,55443,,
474,Pitch pine,Pitch pine,,,,P. rigidia vs P. coulteri,
475,Sassafras spp.,Sassafras,,,259387,as Sassafras,
478,Rosa spp.,Rosa,,,not found,,
479,Cypress spp.,Cypress,,,,Cupressus (218524) vs. Taxodium (265546),
480,Elderberry spp.,Elderberry,,,259210,as Sambucus,
481,Eastern cottonwood,Eastern cottonwood,,,43504,as Populus deltoides,
482,"Azalea, rhododendron spp.","Azalea, rhododendron",,,NA,,
484,Shortleaf pine,Shortleaf pine,,,42118,,
485,Syringa vulgaris,Syringa vulgaris,,,52666,,
486,Horse chestnut,Horse chestnut,,,repeat,as Aesculus hippocastanum,
487,Arizona white oak,Arizona white oak,,,45321,as Quercus arizonica,
488,Norway spruce,Norway spruce,,,41907,as Picea abies,
489,Shining willow,Shining willow,,,47874,as Salix lucida,
490,Maple,Maple,,,200402,as Acer,
491,Myrobalan plum,Myrobalan plum,,,44319,as Prunus cerasifera,
492,European horse chestnut,European horse chestnut,,,1571,as Aesculus hippocastanum,
493,Prunus serulata (japanese cherry blossom),Prunus serulata (japanese cherry blossom),,,44416,as Prunus serrulata,this is mispelled
494,Prunus sargentii,Prunus sargentii,,,44411,,
495,Amelanchier,Amelanchier,,,202576,as Amelanchier,
496,Staghorn sumac,Staghorn sumac,,,46375,as Rhus typhina,
497,Cottonwood and poplar spp.,Cottonwood and poplar,,,NA,,
498,Buckthorn spp.,Buckthorn,,,257068,as Rhamnus,
499,Quercus hemispherica,Quercus hemispherica,,,45414,as Q. laurifolia,
501,Ilex ambigua,Ilex ambigua,,,30225,,
502,Hibiscus coccineus albus,Hibiscus coccineus albus,,,233444,as H. semilobatus,
503,Quercus nuttallii,Quercus nuttallii,,,45495,as Q. texana,
504,Hibiscus moscheutos,Hibiscus moscheutos,,,28787,,
