Family (as listed by USDA),Family as per Robinson et al. 2002,Genus,common name,herbaceous or woody,origin (for analysis),origin,species counts (Mid-Atlantic numbers unless otherwise indicated),total Lep spp,exotic Lep spp,Native Lep spp
Ericaceae ,Ericaceae ,Chimaphila,pipsissewa,h,native,native,2 natives,2,0,2
Oleaceae,Oleaceae,Chionanthus,fringetree,w,native,native,1 native,8,0,8
Poaceae,Gramineae,Chloris,"windmill grass, finger grass",h,native,both,"3 natives, 2 aliens perhaps others if cultivated",2,0,2
Asteraceae,,Chondrilla,chondrilla,h,alien,alien,1 alien,0,0,0
Brassicaceae,Cruciferae ,Chorispora,crossflower,h,alien,alien,1 alien,1,0,1
Euphorbiaceae ,,Chrozophora,chrozophora,h,alien,alien,1 alien,0,0,0
Asteraceae ,Compositae ,Chrysanthemum,"chrysanthemum, daisy",h,native,native unless cultivated,"1 native, 1 alien, other is cultivated (Native northerly in our area)",22,4,18
Asteraceae,,Chrysogonum,chrysogonum,h,native,native,1 native,0,0,0
Asteraceae ,Compositae ,Chrysopsis,goldenaster,h,native,native,3 natives,1,0,1
Saxifragaceae,,Chrysosplenium,golden saxifrage,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Cicer,chick pea,h,alien,alien,1 alien,1,1,0
Asteraceae ,Compositae ,Cichorium,"endive, chickory",h,alien,alien,2 aliens,9,0,9
Apiaceae,Umbelliferae ,Cicuta,water hemlock,h,native,native,2 natives,9,0,9
Poaceae,,Cinna,woodreed,h,native,native,2 natives,0,0,0
Onagraceae,Onagraceae,Circaea,enchanter's nightshade,h,native,native,3 natives,1,1,0
Asteraceae,Compositae ,Cirsium,thistle,h,native,both,"9 natives, 4 aliens",29,2,27
Vitaceae,Vitaceae,Cissus,"treebine, grape ivy",w,alien,alien,aliens if cultivated (more southerly parts of our area),3,0,3
Cucurbitaceae ,Cucurbitaceae ,Citrullus,watermelon,h,alien,alien,1 alien,12,1,11
Cyperaceae,Cyperaceae,Cladium,sawgrass,h,native,native,2 natives,2,0,2
Fabaceae,,Cladrastis,yellowwood,w,native,native,1 native,0,0,0
Onagraceae,Onagraceae,Clarkia,clarkia,h,native,native,1 native (many species western),3,0,3
Portulacaceae ,,Claytonia,springbeauty,h,native,native,2 natives,0,0,0
Orchidaceae,,Cleistes,rosebud orchid,h,native,native,2 natives,0,0,0
Ranunculaceae,Ranunculaceae,Clematis,"clematis, leather flower",w,native,both,"10 natives, 2 aliens perhaps others if cultivated",6,0,6
Capparaceae,Capparaceae,Cleome,"spiderflower, spiderwisp, pink queen",h,native,both,"2 natives, 3 aliens perhaps another if cultivated",5,1,4
Verbenaceae,Verbenaceae,Clerodendrum,glory bower,w,alien,alien,"1 alien; 400 species, mostly tropical",1,0,1
Clethraceae,Clethraceae,Clethra,"summersweet, sweetpepperbush",w,native,native,2 natives,10,1,9
Lamiaceae,,Clinopodium,clinopodium,h,native,native,3 natives,0,0,0
Liliaceae,,Clintonia,bluebead,h,native,native,3 natives,0,0,0
Fabaceae,Leguminosae(P),Clitoria,pigeonwings,h,native,native,1 native,4,0,4
Asteraceae,,Cnicus,cnicus,h,alien,alien,1 alien,0,0,0
Euphorbiaceae ,Euphorbiaceae ,Cnidoscolus,cnidoscolus,h,native,native,1 native (VA&south),1,0,1
Menispermaceae,,Cocculus,coralbead,h,native,native,1 native,0,0,0
Poaceae,,Coelorachis,jointtail grass,h,native,native,1 native,0,0,0
Brassicaceae,,Coincya,star-mustard,h,alien,alien,1 alien,0,0,0
Poaceae,,Coix,Job's tears,h,alien,alien,1 alien,0,0,0
Liliaceae,,Colchicum,colchicum,h,alien,alien,1 alien,0,0,0
Scrophulariaceae,Scrophulariaceae,Collinsia,blue eyed mary,h,native,native unless cultivated,2 natives perhaps an alien if cultivated,2,1,1
Lamiaceae,Labiatae,Collinsonia,"stoneroot, richweed",h,native,native,2 natives,5,0,5
Polemoniaceae,,Collomia,trumpet,h,native,native,1 native,0,0,0
Araceae,Araceae,Colocasia,coco yam,h,alien,alien,1 alien,2,0,2
Fabaceae,Leguminosae(P),Colutea,bladder senna,w,alien,alien,1 alien perhaps others if cultivated,1,1,0
Santalaceae,Santalaceae,Comandra,bastard toadflax,h,native,native,1 native,3,0,3
Rosaceae,,Comarum,comarum,h,native,native,1 native,0,0,0
Commelinaceae,Commelinaceae,Commelina,dayflower,h,native,both,"3 natives, 1 alien perhaps others if cultivated",2,0,2
Myricaceae,Myricaceae,Comptonia,sweet fern,w,native,native,1 native,64,2,62
Apiaceae,,Conioselinum,hemlockparsley,h,native,native,1 native,0,0,0
Apiaceae,Umbelliferae ,Conium,poison hemlock,h,alien,alien,1 alien,2,0,2
Asteraceae,,Conoclinium,thoroughwort,h,native,native,1 native,0,0,0
Orobanchaceae,,Conopholis,cancer-root,h,native,native,1 native,0,0,0
Brassicaceae,Cruciferae ,Conringia,hare's ear mustard,h,alien,alien,1 alien,2,0,2
Ranunculaceae,Ranunculaceae,Consolida,knight's spur,h,alien,alien,2 aliens,1,0,1
Liliaceae,Convallariaceae ,Convallaria,lily-of-the-valley,h,native,both,"1 native, 1 alien",1,0,1
Convolvulaceae ,Convolvulaceae ,Convolvulus,"bindweed, morning glory",h,alien,alien,2 aliens perhaps others if cultivated,9,2,7
Asteraceae ,Compositae ,Conyza,horseweed,h,native,both,"2 natives, 1 alien(VA&south)",11,1,10
Ranunculaceae,,Coptis,goldthread,h,native,native,1 native,0,0,0
Orchidaceae,,Corallorhiza,coralroot,h,native,native,5 natives,0,0,0
Tiliaceae ,Tiliaceae ,Corchorus,"jute, tridens corchorus",h,alien,alien,1 alien perhaps others if cultivated,1,1,0
Empetraceae,,Corema,corema,h,native,native,1 native,0,0,0
Asteraceae ,Compositae ,Coreopsis,"tickseed, coreopsis",h,native,native,12 natives,6,0,6
Apiaceae,,Coriandrum,coriander,h,alien,alien,1 alien,0,0,0
Chenopodiaceae,,Corispermum,bugseed,h,native,native,1 native,0,0,0
Cornaceae,Cornaceae,Cornus,"dogwood, bunchberry",w,native,both,"12 natives, 2 aliens, perhaps others if cultivated",118,2,115
Brassicaceae,,Coronopus,swinecress,h,alien,alien,2 aliens,0,0,0
Caryophyllaceae,,Corrigiola,corrigiola,h,alien,alien,1 alien,0,0,0
Poaceae,,Cortaderia,pampas grass,h,alien,alien,1 alien,0,0,0
Fumariaceae,,Corydalis,fumewort,h,native,native,2 natives,0,0,0
Betulaceae,Corylaceae,Corylus,"filbert, hazel, hazelnut",w,native,both,"2 natives, 1 aliens, perhaps others if cultivated",131,7,124
Poaceae,,Corynephorus,clubawn grass,h,alien,alien,1 alien,0,0,0
Asteraceae ,Compositae ,Cosmos,cosmos,h,native,both,"1 native, 2 aliens",5,1,4
Anacardiaceae ,Anacardiaceae ,Cotinus,smoketree,w,alien,alien,1 alien (1 native in the south),4,0,4
Rosaceae ,Rosaceae ,Cotoneaster,cotoneaster,w,alien,alien,"1 alien, possibly many more if cultivated",3,1,2
Crassulaceae ,,Crassula,pygmyweed,h,native,native,I native aquatic,0,0,0
Rosaceae ,Rosaceae ,Crataegus,hawthorn,w,native,both,"73 natives, 1 alien, perhaps others if cultivated",168,18,150
Asteraceae ,Compositae ,Crepis,hawksbeard,h,alien,alien,5 aliens (natives western),2,0,2
Iridaceae ,,Crocus,crocus,h,alien,alien,4 aliens,0,0,0
Asteraceae ,Compositae ,Croptilon,scratchdaisy,h,native,native,1 native (VA&south),2,0,2
Fabaceae,Leguminosae(P),Crotalaria,"showy rattlebox, rattleweed",h,native,both,"3 natives, 1 alien perhaps others if cultivated",6,1,5
Euphorbiaceae ,Euphorbiaceae ,Croton,"firebush, croton, prairie tea",h,native,both,"7 natives, 1 alien perhaps others if cultivated",5,0,5
Rubiaceae,Rubiaceae,Cruciata,bedstraw,h,alien,alien,2 aliens,0,0,0
Poaceae,,Crypsis,pricklegrass,h,alien,alien,2 aliens,0,0,0
Pteridaceae,,Cryptogramma,rockbrake,h,native,native,1 native,0,0,0
Apiaceae,Umbelliferae ,Cryptotaenia,honewort,h,native,native unless cultivated,"1 native, perhaps 1 alien if cultivated",2,0,2
Poaceae,Gramineae,Ctenium,toothachegrass,h,native,native,1 native,1,0,1
Cucurbitaceae ,,Ctenolepis,ctenolepis,h,alien,alien,1 alien,0,0,0
Cucurbitaceae ,Cucurbitaceae ,Cucumis,"gourd, cantelope, cucumber",h,native,both,"1 native, 2 aliens, perhaps others if cultivated",20,1,19
Cucurbitaceae ,Cucurbitaceae ,Cucurbita,"pumpkin, gourd, squash",h,native,both,"2 natives, 3 aliens, perhaps others if cultivated",15,1,14
Fabaceae,,Cullen,scurfpea,h,alien,alien,1 alien,0,0,0
Lamiaceae,,Cunila,cunila,h,native,native,1 native,0,0,0
Lythraceae ,,Cuphea,waxweed,h,alien,alien,1 alien,0,0,0
Cupressaceae,Cupressaceae,Cupressus,cypress,w,alien,alien,"2 aliens hardy enough for DE&south, natives western",7,0,7
Cuscutaceae,Convolvulaceae ,Cuscuta,dodder,h,native,both,"10 natives, 2 alien",2,0,2
Asteraceae,,Cyclachaena,,h,native,native,1 native,0,0,0
Primulaceae,Primulaceae,Cyclamen,cyclamen,h,alien,alien,aliens if cultivated,1,0,1
Chenopodiaceae,,Cycloloma,cycloloma,h,native,native,1 native,0,0,0
Apiaceae,,Cyclospermum,marsh parsley,h,alien,alien,1 alien,0,0,0
Rosaceae ,Rosaceae ,Cydonia,quince,w,alien,alien,1 alien,24,3,21
Scrophulariaceae,Scrophulariaceae,Cymbalaria,kenilworth ivy,h,alien,alien,1 alien,1,0,1
Asteraceae,,Cymophora,cymophora,h,alien,alien,1 alien,0,0,0
Cyperaceae,,Cymophyllus,cymophyllus,h,native,native,1 native,0,0,0
Asclepiadaceae,Asclepiadaceae,Cynanchum,"honey vine, swallowwort, sand vine",h,native,both,"1 native, 3 aliens",3,0,3
Asteraceae ,Compositae ,Cynara,"cardoon, globe artichoke",h,alien,alien,"1 alien (at least) possible to cultivate, 2 species",5,0,5
Poaceae,Gramineae,Cynodon,burmuda grass,h,alien,alien,"1 alien, perhaps others if cultivated",12,0,12
Boraginaceae,Boraginaceae,Cynoglossum,"comfrey, hound's tongue",h,native,both,"1 native, 2 aliens",4,1,3
Poaceae,,Cynosurus,dogstail grass,h,alien,alien,2 aliens,0,0,0
Cyperaceae,Cyperaceae,Cyperus,"yellow nutgrass, nutgrass, chufa, flatsedge",h,native,both,"31 natives, 7 aliens",5,0,5
Orchidaceae ,Orchidaceae ,Cypripedium,lady's slipper,h,native,native unless cultivated,"7 natives, perhaps aliens if cultivated",2,0,2
Cyrillaceae,,Cyrilla,titi,h,native,native,1 native,0,0,0
Dryopteridaceae,Dryopteridaceae,Cyrtomium,holly fern,h,alien,alien,1 alien,0,0,0
Dryopteridaceae,,Cystopteris,bladderfern,h,native,native,6 natives,0,0,0
Fabaceae,Leguminosae(P),Cytisus,"broom, scotch broom",w,alien,alien,1 alien perhaps others if cultivated,8,3,5
Poaceae,Gramineae,Dactylis,orchard grass,h,alien,alien,2 aliens,21,1,20
Poaceae,Gramineae,Dactyloctenium,Egyptian grass,h,alien,alien,1 alien perhaps others if cultivated,1,0,1
Orchidaceae,,Dactylorhiza,keyflower,h,native,native,1 native,0,0,0
Asteraceae,Compositae ,Dahlia,dahlia,h,alien,alien,1 alien VA&south,15,2,13
Fabaceae,Leguminosae(P),Dalea,prairie clover,h,native,native unless cultivated,"2 natives, perhaps aliens if cultivated",3,0,3
Rosaceae,,Dalibarda,dalibarda,h,native,native,1 native,0,0,0
Poaceae,Gramineae,Danthonia,oatgrass,h,native,native unless cultivated,"3 natives, perhaps aliens if cultivated",1,0,1
Thymelaeaceae,,Daphne,daphne,h,alien,alien,1 alien,0,0,0
Rosaceae,Rosaceae,Dasiphora,shrubby cinquefoil,h,native,native,1 native,2,0,2
Scrophulariaceae,Scrophulariaceae,Dasistoma,mullein foxglove,h,native,native,1 native,2,0,2
Poaceae,,Dasyochloa,woollygrass,h,native,native,1 native,0,0,0
Poaceae,,Dasypyrum,mosquitograss,h,alien,alien,1 alien,0,0,0
Solanaceae ,Solanaceae ,Datura,"thorn-apple, jimsonweed, pricklyburr",h,native,both,"2 natives, 2 aliens, perhaps others if cultivated",10,1,9
Apiaceae,Umbelliferae ,Daucus,"carrot, Queen Anne's Lace",h,native,both,"1 native, 1 alien",18,1,17
Lythraceae ,Lythraceae ,Decodon,swamp loosestrife,w,native,native,1 native,5,0,5
Hydrangeaceae,,Decumaria,decumaria,h,native,native,1 native,0,0,0
Ranunculaceae,Ranunculaceae,Delphinium,larkspur,h,native,native unless cultivated,"2 native, perhaps aliens if cultivated",10,0,10
Dennstaedtiaceae,Dennstaedtiaceae,Dennstaedtia,hayscented fern,h,native,native,1 native,3,0,3
Dryopteridaceae,,Deparia,False spleenwort,h,native,native,1 native,0,0,0
Poaceae,,Deschampsia,hairgrass,h,native,native,4 natives,0,0,0
Brassicaceae,Cruciferae ,Descurainia,"tansymustard, herb sophia",h,native,both,"2 natives,1 alien",3,0,3
Fabaceae,Leguminosae(M),Desmanthus,bundleflower,h,native,native,1 native,1,0,1
Fabaceae,Leguminosae(P),Desmodium,"begger weed, tick trefoil",h,native,native unless cultivated,"23 natives, perhaps aliens if cultivated",17,0,17
Hydrangaeceae,Hydrangaeceae,Deutzia,pride-of-Rochester,w,alien,alien,1 alien perhaps others if cultivated,2,1,1
Crassulaceae ,,Diamorpha,diamorpha,h,native,native,1 native,0,0,0
Caryophyllaceae ,Caryophyllaceae ,Dianthus,"pinks, carnations",h,alien,alien,5 aliens perhaps others if cultivated,10,2,8
Diapensiaceae,,Diapensia,diapensia,h,native,native,1 native,0,0,0
Poaceae,,Diarrhena,beakgrain,h,native,native,2 natives,0,0,0
Fumariaceae,Papaveraceae,Dicentra,bleeding heart,h,native,native,3 natives,1,0,1
Poaceae,Gramineae,Dichanthelium,"deertongue witchgrass, panicgrass, rosette grass",h,native,native,29 natives,2,0,2
Convolvulaceae ,,Dichondra,ponysfoot,h,native,native,1 native,0,0,0
Acanthaceae,,Dicliptera,foldwing,h,native,native,1 native,0,0,0
Rutaceae ,Rutaceae ,Dictamnus,gas plant,h,alien,alien,1 alien,2,0,2
Lythraceae,,Didiplis,didiplis,h,native,native,1 native aquatic,0,0,0
Caprifoliaceae ,Caprifoliaceae ,Diervilla,bush homeysuckle,w,native,native,1 native,5,1,4
Amaranthaceae,,Digera,,h,alien,alien,1 alien,0,0,0
Scrophulariaceae,Scrophulariaceae,Digitalis,foxglove,h,alien,alien,4 aliens perhaps anothers if cultivated,3,0,3
Poaceae,Gramineae,Digitaria,crabgrass,h,native,both,"7 natives, 1 aliens, others if cultivated",21,0,21
Poaceae,,Dinebra,viper grass,h,alien,alien,1 alien,0,0,0
Rubiaceae,Rubiaceae,Diodia,"buttonweed, poorjoe",h,native,both,"2 natives, 1 alien",1,0,1
Droseraceae,Droseraceae,Dionaea,venus flytrap,h,native,native,2 natives,1,0,1
Dioscoreaceae,,Dioscorea,yam,h,native,native,2 natives,0,0,0
Ebenaceae,Ebenaceae,Diospyros,persimmon,w,native,native unless cultivated,"1 native, perhaps aliens if cultivated",46,2,44
Berberidaceae,,Diphylleia,umbrellaleaf,h,native,native,1 native,0,0,0
Dryopteridaceae,Woodsiaceae,Diplazium,twinsorus fern,h,native,native unless cultivated,"1 native, perhaps aliens if cultivated",1,0,1
Brassicaceae,Cruciferae ,Diplotaxis,wallrocket,h,alien,alien,3 aliens perhaps another if cultivated,1,0,1
Dipsacaceae,Dipsacaceae,Dipsacus,teasel,h,alien,alien,3 aliens perhaps,1,0,1
Thymelaeaceae,Thymelaeaceae,Dirca,leatherwood,w,native,native,1 native,1,0,1
Liliaceae,Convallariaceae ,Disporum,"fairy bells, mandarin",h,alien,alien,1 or more aliens,1,1,0
Poaceae,Gramineae,Distichlis,saltgrass,h,native,native unless cultivated,"1 native, perhaps 1 alien if cultivated",3,0,3
Asteraceae,,Dittrichia,dittrichia,h,alien,alien,2 aliens,0,0,0
Primulaceae,,Dodecatheon,shootingstar,h,native,native,2 natives,0,0,0
Asteraceae,Compositae ,Doellingeria,whitetop,h,native,both,"3 natives, 1 alien if cultivated (DE & south)",17,0,17
Leguminosae(P),,Dolichos,no common name,h,alien,alien,maybe 2 alien species if cultivated,1,1,0
Brassicaceae,Cruciferae ,Draba,draba,h,native,both,"6 natives, 1 alien perhaps another if cultivated",2,0,2
Lamiaceae,,Dracocephalum,dragonhead,h,native,native,1 native,0,0,0
Droseraceae,Droseraceae,Drosera,sundew,h,native,native,6 natives,1,0,1
Dryopteridaceae,Dryopteridaceae,Dryopteris,wood ferns,h,native,native unless cultivated,"23 natives, perhaps 1 alien if cultivated",3,0,3
Rosaceae,,Duchesnea,duchesnea,h,alien,alien,1 alien,0,0,0
Cyperaceae,,Dulichium,dulichium,h,native,native,1 native,0,0,0
Asteraceae,Compositae ,Dyssodia,fetid marigold,h,native,native,1 native,3,0,3
Cucurbitaceae ,,Ecballium,squirting cucumber,h,alien,alien,1 alien,0,0,0
Asteraceae,Compositae ,Echinacea,purple coneflower,h,native,native,4 natives,1,0,1
Poaceae,Gramineae,Echinochloa,"barnyardgrass, cockspur",h,native,both,"2 natives, 3 aliens perhaps others if cultivated",5,0,5
Cucurbitaceae ,Cucurbitaceae ,Echinocystis,wild cucumber,h,native,native,1 native,1,0,1
Alismataceae,,Echinodorus,burrhead,h,native,native,1 native aquatic,0,0,0
Asteraceae,,Echinops,globethistle,h,alien,alien,1 alien,0,0,0
Asteraceae,,Eclipta,eclipta,h,native,native,1 native,0,0,0
Hydrocharitaceae,,Egeria,egeria,h,alien,alien,1 alien aquatic,0,0,0
Pontederiaceae,,Eichhornia,water hyacinth,h,alien,alien,1 alien aquatic,0,0,0
Eleagnaceae,Eleagnaceae,Elaeagnus,"autumn olive, Russian olive, thorny olive, Eleagnus",w,alien,alien,"4 aliens perhaps anothers if cultivated, native western",9,1,8
Elatinaceae,,Elatine,waterwort,h,native,native,1 native aquatic,0,0,0
Cyperaceae,,Eleocharis,spikerush,h,native,native,33 natives aquatic,0,0,0
Asteraceae,Compositae ,Elephantopus,elephantfoot,h,native,both,"3 natives, 2 aliens if cultivated",1,0,1
Poaceae,Gramineae,Eleusine,indian goosegrass,h,alien,alien,2 aliens,0,0,0
Araliaceae,,Eleutherococcus,ginseng,h,alien,alien,1 alien,0,0,0
Hydrophyllaceae ,,Ellisia,ellisia,h,native,native,1 native aquatic,0,0,0
Hydrocharitaceae,,Elodea,waterweed,h,native,native,1 native aquatic,0,0,0
Lamiaceae,,Elsholtzia,elsholtzia,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Elymus,"rye, wheat, bottlebrush grass",h,native,both,"9 natives, 1 aliens, others if cultivated",31,2,29
Polygonaceae ,,Emex,threecornerjack,h,alien,alien,1 alien,0,0,0
Empetraceae,,Empetrum,crowberry,w,native,native,2 natives,0,0,0
Ranunculaceae,,Enemion,False rue anemone,h,native,native,1 native,0,0,0
Poaceae,,Enneapogon,feather pappusgrass,h,native,native,1 native,0,0,0
Orobanchaceae,,Epifagus,beechdrops,h,native,native,1 native,0,0,0
Ericaceae ,Ericaceae ,Epigaea,trailing arbutus,h,native,native,1 native,2,0,2
Onagraceae,Onagraceae,Epilobium,willowherb,h,native,both,"7 natives, 2 aliens perhaps others if cultivated",32,2,30
Orichidaceae,,Epipactis,helleborine,h,alien,alien,1 alien,0,0,0
Equisetaceae,Equisetaceae,Equisetum,horsetail,h,native,native unless cultivated,"13 natives, perhaps 2 aliens if cultivated",1,1,0
Poaceae,Gramineae,Eragrostia- Eragrostis,lovegrass,h,native,both,"1 native, 2 aliens perhaps others if cultivated",3,0,3
Asteraceae,Compositae ,Erechtites,"burnweed, fireweed",h,native,native,1 native,2,0,2
Poaceae,Gramineae,Eremochloa,centipedegrass,w,alien,alien,1 alien,4,0,4
Poaceae,,Eremopyrum,False wheatgrass,h,alien,alien,2 aliens,0,0,0
Ericaceae ,Ericaceae ,Erica,"heath, heather",h,alien,alien,2 aliens perhaps others if cultivated,4,2,2
Asteraceae,,Ericameria,goldenbush,h,native,native,1 native,0,0,0
Apiaceae,,Erigenia,erigenia,h,native,native,1 native,0,0,0
Asteraceae,Compositae ,Erigeron,fleabane,h,native,native unless cultivated,"5 natives, perhaps aliens if cultivated",15,0,15
Eriocaulaceae,,Eriocaulon,pipewort,h,native,native,4 natives,0,0,0
Poaceae,Gramineae,Eriochloa,cupgrass,h,native,both,"2 natives, 1 alien perhaps others if cultivated",2,1,1
Polygonaceae ,Polygonaceae ,Eriogonum,buckwheat,h,native,native unless cultivated,"1 native(VA&WV), aliens perhaps if cultivated; many natives western",9,2,7
Cyperaceae,Cyperaceae,Eriophorum,cottongrass,h,native,native,2 natives,1,0,1
Geraniaceae,Geraniaceae,Erodium,"heron's bill, erodium, stork's bill",h,alien,alien,5 aliens,3,0,3
Brassicaceae,Cruciferae ,Eruca*,"arugula, saladrocket, rocketsalad",h,alien,alien,1 alien,1,0,1
Brassicaceae,,Erucastrum,dogmustard,h,alien,alien,1 alien,0,0,0
Apiaceae,Umbelliferae ,Eryngium,"sea holly, rattlesnakemaster, eryngo",h,native,both,4 natives 3 aliens perhaps others if cultivated,1,0,1
Brassicaceae,Cruciferae ,Erysimum,wallflower,h,native,both,"2 natives, 4 aliens",1,1,0
Liliaceae,,Erythronium,fawnlily,h,native,native,3 natives,0,0,0
Papaveraceae,Papaveraceae,Eschscholzia,"California poppy, desert poppy",h,native,native,1 native,2,1,1
Ericaceae,,Eubotrys,,w,native,native,2 natives,0,0,0
Celastraceae,Celastraceae,Euonymus,"wahoo, burningbush, euonymus, spindletree, burstingheart, wintercreeper, strawberrybush",w,native,both,"3 natives, 6 aliens perhaps another if cultivated",11,5,6
Asteraceae,,Eupatoriadelphus,,h,native,native,3 natives,0,0,0
Asteraceae,Compositae ,Eupatorium,"joe-pye weed, thoroughwort, dogfennel, common boneset",h,native,both,"20 natives, 1 alien",41,1,40
Euphorbiaceae ,Euphorbiaceae ,Euphorbia,"poinsettia, spurge, snow-on-the-mountain",h,native,both,"10 natives, 12 aliens perhaps others if cultivated",7,0,7
Scrophulariaceae,,Euphrasia,eyebright,h,alien,alien,2 aliens,0,0,0
Asteraceae,,Eurybia,aster,h,native,native,9 natives,0,0,0
Poaceae,Gramineae,Eustachys,pinewoods fingergrass,h,native,both,"1 native, 1 alien perhaps another if cultivated",1,0,1
Asteraceae,Compositae ,Euthamia,goldentop,h,native,native,2 natives,5,0,5
Convolvulaceae ,,Evolvulus,dwarf morning-glory,h,native,native,9 natives,0,0,0
Rosaceae ,,Exochorda,pearlbrush,w,alien,alien,1 alien,0,0,0
Asteraceae,,Facelis,trampweed,h,alien,alien,1 alien,0,0,0
Polygonaceae ,Polygonaceae ,Fagopyrum,buckwheat,h,alien,alien,2 aliens,8,0,8
Fagaceae,Fagaceae,Fagus,beech,w,native,both,"1 native, 1 alien",127,3,124
Apiaceae,,Falcaria,falcaria,h,alien,alien,1 alien,0,0,0
Moraceae,,Fatoua,fatoua,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Festuca,fescue,h,native,both,"4 natives, 4 aliens perhaps others if cultivated",4,0,4
Moraceae,Moraceae,Ficus,fig,w,alien,alien,1 alien perhaps others if cultivated,8,2,6
Asteraceae,,Filago,cottonrose,h,alien,alien,1 alien,0,0,0
Rosaceae,,Filipendula,queen,h,native,native,1 native,0,0,0
Cyperaceae,,Fimbristylis,fimbry,h,native,native,7 natives,0,0,0
Sterculiaceae,,Firmiana,parasoltree,w,alien,alien,1 alien,0,0,0
Asteraceae,,Flaveria,yellowtops,h,native,native,1 native,0,0,0
Asteraceae,,Fleischmannia,thoroughwort,h,native,native,1 native,0,0,0
Limnanthaceae,,Floerkea,floerkea,h,native,native,1 native,0,0,0
Apiaceae,Umbelliferae ,Foeniculum,"sweet fennel, fennell",h,alien,alien,1 alien,1,0,1
Oleaceae,Oleaceae,Forsythia,forsythia,w,alien,alien,3 aliens perhaps 2 others if cultivated,1,0,1
Rosaceae ,Rosaceae ,Fragaria,strawberry,h,native,native,3 native species,81,6,75
Rhamnaceae,Rhamnaceae,Frangula,buckthorn,w,native,both,"1 native, 1 alien",11,0,11
Gentianaceae,Gentianaceae,Frasera,"frasera, columbo",h,native,native,1 native,2,0,2
Oleaceae,Oleaceae,Fraxinus,ash,w,native,both,"6 natives, 1 aliens, plus 2 more if cultivated",149,8,141
Amaranthaceae ,Amaranthaceae ,Froelichia,"cottonweed, snakecotton",h,native,native,2 natives,1,0,1
Cyperaceae,,Fuirena,umbrella-sedge,h,native,native,3 natives,0,0,0
Fumariaceae,,Fumaria,fumitory,h,alien,alien,3 aliens,0,0,0
Asteraceae,Compositae ,Gaillardia,blanketflower,h,native,both,"2 natives, 1 alien",5,1,4
Fabaceae,Leguminosae(P),Galactia,milkpea,h,native,native unless cultivated,"2 natives, perhaps 2 aliens if cultivated",6,0,6
Liliaceae,,Galanthus,snowdrop,h,alien,alien,2 aliens,0,0,0
Orchidaceae,,Galearis,galearis,h,native,native,1 native,0,0,0
Fabaceae,,Galega,professor-weed,h,alien,alien,1 alien,0,0,0
Lamiaceae,Labiatae,Galeopsis,hempnettle,h,alien,alien,3 aliens perhaps more if cultivated,2,1,1
Asteraceae,,Galinsoga,gallant soldier,h,alien,alien,2 aliens,0,0,0
Rubiaceae,Rubiaceae,Galium,bedstraw,h,native,both,"18 natives, 8 aliens",19,1,18
Asteraceae,Compositae ,Gamochaeta,everlasting,h,native,native,1 natives,3,0,3
Ericaceae ,Ericaceae ,Gaultheria,"snowberry, teaberry",w,native,native,2 natives,2,0,2
Onagraceae,,Gaura,beeblossom,h,native,native,4 natives,0,0,0
Ericaceae ,Ericaceae ,Gaylussacia,"huckleberry, dangleberry",w,native,native,4 natives,44,1,43
Loganiaceae,,Gelsemium,trumpetflower,h,native,native,1 native,0,0,0
Fabaceae,Leguminosae(P),Genista,"broom, greenweed",w,alien,alien,1 alien perhaps another if cultivated,4,1,3
Gentianaceae,Gentianaceae,Gentiana,gentian,h,native,both,9 natives (alien in MA),1,0,1
Gentianaceae,,Gentianella,dwarf gentian,h,native,native,1 native,0,0,0
Gentianaceae,,Gentianopsis,fringed gentian,h,native,native,2 natives,0,0,0
Santalaceae,,Geocaulon,False toadflax,h,native,native,1 native,0,0,0
Geraniaceae,Geraniaceae,Geranium,geranium,h,native,both,"4 natives, 8 aliens, perhaps others if cultivated",24,1,23
Rosaceae ,Rosaceae ,Geum,avens,h,native,both,"8 natives, 1 alien",2,0,2
Polemoniaceae,Polemoniaceae,Gilia,gilia,h,native,native,2 natives,1,0,1
Rosaceae,,Gillenia,,h,native,native,2 natives,0,0,0
Ginkgoaceae,Ginkgoaceae,Ginkgo,maidenhair,w,alien,alien,1 aliens,5,1,4
Iridaceae ,Iridaceae ,Gladiolus,gladiolus,h,alien,alien,1 alien perhaps others if cultivated,17,3,14
Verbenaceae,,Glandularia,mock vervain,h,native,native,1 native,0,0,0
Papaveraceae,,Glaucium,hornpoppy,h,alien,alien,2 aliens,0,0,0
Primulaceae,,Glaux,milkwort,h,native,native,1 native,0,0,0
Asteraceae,,Glebionis,,h,alien,alien,1 alien,0,0,0
Lamiaceae,Labiatae,Glechoma,ground ivy,h,alien,alien,1 aliens,3,0,3
Fabaceae,Leguminosae(C),Gleditsia,"honeylocust, gleditsia",w,native,both,"2 natives, 1 alien when cultivated",46,4,42
Scrophulariaceae,,Glossostigma,glossostigma,h,alien,alien,1 alien,0,0,0
Poaceae,Gramineae,Glyceria,"managrass, fowl managrass",h,native,both,"11 natives, 2 aliens",9,0,9
Fabaceae,Leguminosae(P),Glycine,soybean,h,alien,alien,"1 alien, others cultivated",33,1,32
