,cleanedName,sciName,itis_id,rank,Suggested Name,Suggested ITIS ID,Problem
143,Carolina ash,Fraxinus caroliniana,32941,species,,,
144,Tuliptree,Liriodendron,18085,species,,,
145,American bladdernut,Staphylea trifolia,28646,species,,,
146,American hazelnut,Corylus americana,19506,species,,,
147,Cucumber magnolia,NA,NA,species,Magnolia acuminata,18071,Name not found in ITIS | found in NCSU
148,Bitternut hickory,Carya cordiformis,19227,species,,,
149,Carolina silverbell,Halesia carolina,23864,species,,,
150,Mockernut hickory,Carya tomentosa,19247,species,,,
151,Vaccinium corymbosum,Vaccinium corymbosum,23573,species,,,
152,Scrub oak,Quercus berberidifolia,507263,species,,,
153,Viburnum dentatum,Viburnum dentatum,35251,species,,,
154,Gaylussacia baccata,Gaylussacia baccata,23660,species,,,
155,Prunus maritima,Prunus maritima,24790,species,,,
156,Morella caroliniensis,Morella caroliniensis,507898,species,,,
157,Baccharis halimifolia,Baccharis halimifolia,35682,species,,,
158,Alder,Betulaceae,19465,species,,,
159,American mountain-ash,Sorbus americana,25319,species,,,
160,Forsythia,Forsythia,32961,species,,,
161,Swamp white oak,Quercus bicolor,19300,species,,,
162,Southern catalpa,Catalpa bignonioides,34313,species,,,
163,Viburnum,Viburnum,35249,species,,,
164,Black gum,Nyssa sylvatica,27821,species,,,
165,Overcup oak,Quercus lyrata,19278,species,,,
166,Atlantic white-cedar,Chamaecyparis thyoides,18046,species,,,
167,Privet,NA,NA,species,Ligustrum,32973,"Different options between ""privet"" Ligusticum and Ligustrum and included Ligustrum sempevirens| suggested by USDA Ligustrum"
168,Siberian elm,Ulmus pumila,19057,species,,,
169,Southern red oak,Quercus falcata,19277,species,,,
170,Southern sugar maple,NA,NA,species,Acer barbatum,28759,Not found in ITIS
171,Japanese privet,Ligustrum japonicum,503449,species,,,
172,Buckeye,Aesculus,28714,species,,,
173,Witch hazel,Hamamelidaceae,19025,species,,,
174,Japanese apricot,Prunus mume,506231,species,,,
175,Stiff dogwood,Cornus foemina,27802,species,,,
176,Amur maple,NA,NA,species,Acer ,28727,Between Acer ginnala vs A. japonicum | what's the difference??
177,Japanese snowbell,Styrax japonicus,505974,species,,,
178,Cornelian-cherry dogwood,NA,NA,species,Cornus mas,565094,not found in ITIS | found in NCSU
179,Weeping knoss dogwood,NA,NA,species,Cornus kousa,507498,Misspelling? To Weeping Kousa Dogwood
180,Red buckeye,Aesculus pavia,28723,species,,,
181,Cornus macrophylla,Cornus macrophylla,896096,species,,,
182,Fragrant wintersweet,NA,NA,species,Chimonanthus praecox,,not found in ITIS | found in NCSU
183,Chinese quince,NA,NA,species,Chaenomeles sinensis,565928,not found in IT IS and not accepted | found in NCSU
184,European spindletree,Euonymus europaeus,27949,species,,,
185,Sweet birch,Betula lenta,19487,species,,,
186,Yeddo euonymous,NA,NA,species,Euonymus hamiltonianus ssp. Sieboldianus,895058,Misspelling but also known as Euonymus yedoensis according to oldhouseweb.com
187,Beech,Fagus,19461,species,,,
188,Trident maple,Acer buergerianum,837859,species,,,
189,Water oak,Quercus nigra,19280,species,,,
190,Japanese zelkova,Zelkova serrata,505790,species,,,
191,Mountain laurel,Kalmia latifolia,23677,species,,,
192,Catawba rhododendron,Rhododendron catawbiense,23714,species,,,
193,Eastern hemlock,Tsuga canadensis,183397,species,,,
194,Eastern white pine,Pinus strobus,183385,species,,,
195,Virginia pine,Pinus virginiana,183394,species,,,
196,Elderberry,Sambucus,35315,species,,,
197,Kalmia latifolia,Kalmia latifolia,23677,species,,,
198,Loebner magnolia,NA,NA,species,Magnolia,18069,?? Not found | a hybrid
199,Hedge maple,Acer campestre,28739,species,,,
200,Possumhaw,Ilex decidua,27998,species,,,
201,Nutmeg hickory,Carya myristiciformis,19239,species,,,
202,Persian ironwood,Parrotia persica,895220,species,,,
203,Osage orange,Maclura pomifera,19102,species,,,
204,Horned maple,NA,NA,species,Acer diabolicum,837851,Not found in IT IS | NCSU Plants CES has it
205,Redbay,Persea borbonia,18149,species,,,
206,Ilex vomitoria,Ilex vomitoria,27986,species,,,
207,Chinese tallowtree,NA,NA,species,Triadica sebifera,522777,"A space was needed between ""tallow"" and ""tree"""
208,Morella cerifera,Morella cerifera,507899,species,,,
209,Callicarpa americana,Callicarpa americana,32144,species,,,
