,Family..as.listed.by.USDA.,Family.as.per.Robinson.et.al..2002,Genus,common.name,herbaceous.or.woody,origin..for.analysis.,origin,species.counts..Mid.Atlantic.numbers.unless.otherwise.indicated.,total.Lep.spp,exotic.Lep.spp,Native.Lep.spp,X,Species,totalCount,numSurveysGTzero,totalBiomass,nSurveys,meanDensity,fracSurveys,meanBiomass,X.y,sciName,itis_id,rank,notes
11,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Chalk maple,61,56,710.0937304,901,0.067702553,6.215316315,0.788117348,138,Acer leucoderme,28761,species,
12,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Florida maple,0,0,0,64,0,0,0,71,Acer floridanum,183691,species,
13,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Hedge maple,0,0,0,18,0,0,0,199,Acer campestre,28739,species,
14,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Horned maple,0,0,0,17,0,0,0,204,Acer diabolicum,NA,species,didn't match
15,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Japanese maple,17,5,16.21678636,169,0.100591716,2.958579882,0.095957316,17,Acer palmatum,182136,species,
16,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Maple,0,0,0,4,0,0,0,52,Acer,28727,species,
17,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Mountain maple,2,1,3.409067386,6,0.333333333,16.66666667,0.568177898,397,Acer spicatum,28758,species,
18,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Norway maple,6,6,5.256517077,210,0.028571429,2.857142857,0.025031034,32,Acer platanoides,28755,species,
19,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Red maple,2585,2067,27232.80619,17263,0.149742223,11.97358512,1.577524543,54,Acer rubrum,28728,species,
20,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Silver maple,58,10,2166.015415,126,0.46031746,7.936507937,17.19059853,315,Acer saccharinum,28757,species,
21,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Southern sugar maple,1,1,3473.420665,68,0.014705882,1.470588235,51.07971566,170,Acer saccharum var. saccharum,NA,species,not updated
22,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Striped maple,1598,1197,16353.52616,10298,0.155175762,11.62361624,1.588029341,40,Acer pensylvanicum,28754,species,
23,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Sugar maple,321,234,4083.381426,5521,0.058141641,4.238362615,0.739609025,9,Acer saccharum,28731,species,
24,Aceraceae,Aceraceae,Acer,"maple, boxelder",w,native,both,"9 natives, 5 aliens perhaps others if cultivated",297,10,287,,Trident maple,0,0,0,8,0,0,0,188,Acer buergerianum,837859,species,
25,Asteraceae,Compositae ,Achillea,"yarrow, sneezeweed",h,native,both,"1 native, 4 aliens perhaps others if cultivated",21,1,20,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Amaranthaceae,Amaranthaceae,Achyranthes,chaff flower,h,alien,alien,1 aliens perhaps 2 others if cultivated,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Calyceraceae,Calyceraceae,Acicarpha,acicarpha,h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Lamiaceae,Lamiaceae,Acinos,basil thyme,h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Asteraceae,Asteraceae,Acmella,spotflower,h,alien,alien,1 alien perhaps another if cultivated (native further south),0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Ranunculaceae,Ranunculaceae,Aconitum,monkshood,h,native,both,"3 natives, 1 alien perhaps others if cultivated",3,0,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Acoraceae,Acoraceae,Acorus,sweetflag,h,native,native unless cultivated,"2 natives, perhaps 1 alien if cultivated",0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Ranunculaceae,Ranunculaceae,Actaea,"baneberry, bugbane",h,native,native unless cultivated,"6 natives, perhaps 1 alien when cultivated",4,0,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Actinidiaceae,,Actinidia,"kiwi, tara vine",w,alien,alien,"Cultivated, 1 alien, perhaps 2 others.",0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Pteridaceae,Adiantaceae,Adiantum,maidenhair fern,h,native,native unless cultivated,3 natives perhaps aliens if cultivated,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Fumariaceae,Fumariaceae,Adlumia,Allegheny vine,w,native,native,1 native,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Ranunculaceae,Ranunculaceae,Adonis,"muskroot, pheasant's eye",h,alien,alien,2 aliens,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Adoxaceae,Adoxaceae,Adoxa,adoxa,h,native,native,1 native,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Poaceae,Poaceae,Aegilops,goatgrass,h,alien,alien,3 aliens perhaps others if cultivated,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Apiaceae,Umbelliferae ,Aegopodium,goutweed,h,alien,alien,1 alien,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Fabaceae,Leguminosae(P),Aeschynomene,"shyleaf, jointvetch",h,native,native unless cultivated,"3 natives, perhaps aliens if cultivated",1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,Aesculus hippocastanum,1,1,9.060982472,67,0.014925373,1.492537313,0.135238544,48,Aesculus hippocastanum,28721,species,
42,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,Aesculus parviflora,1,1,2.729739818,25,0.04,4,0.109189593,43,Aesculus parviflora,28722,species,
43,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,Bottlebrush buckeye,0,0,0,28,0,0,0,293,Aesculus parviflora,28722,species,
44,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,Buckeye,29,26,337.2072617,205,0.141463415,12.68292683,1.644913472,172,Aesculus,28714,species,
45,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,European horse chestnut,0,0,0,2,0,0,0,440,Aesculus hippocastanum,28721,species,
46,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,Horse chestnut,0,0,0,6,0,0,0,435,Aesculus,28714,species,
47,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,Ohio buckeye,12,3,42.97090272,47,0.255319149,6.382978723,0.914274526,247,Aesculus glabra,28718,species,
48,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,Red buckeye,3,1,63.67812492,26,0.115384615,3.846153846,2.449158651,180,Aesculus pavia,28723,species,
49,Hippocastanaceae,Hippocastanaceae,Aesculus,"horsechestnut, buckeye",w,native,both,"6 natives, 2 aliens (1 must be cultivated)",32,0,32,,Yellow buckeye,17,12,7.761096385,107,0.158878505,11.21495327,0.072533611,58,Aesculus flava,NA,species,not updated
50,Scrophulariaceae,Scrophulariaceae,Agalinis,"false foxglove, gerardia",h,native,native,9 natives,4,0,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Lamiaceae,Labiatae,Agastache,hyssop,h,native,native,2 natives,2,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,Asteraceae,Compositae ,Ageratina,snakeroot,h,native,native,2 natives,5,1,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Asteraceae,Compositae ,Ageratum,"white weed, ageratum",h,alien,alien,1 alien perhaps others if cultivated,7,0,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,Rosaceae ,Rosaceae ,Agrimonia,"agrimony, churchsteeples",h,native,both,"6 natives, 1 alien",1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,Poaceae,Gramineae,Agropyron,wheat grass,h,alien,alien,2 aliens perhaps another if culivated,8,0,8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Caryophyllaceae,Caryophyllaceae,Agrostemma,corncockle,h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Poaceae,Gramineae,Agrostis,bent grass,h,native,both,"6 natives, 2 aliens perhaps others if cultivated",5,1,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,Simaroubaceae,Simaroubaceae,Ailanthus,"ailanthus, tree of heaven",w,alien,alien,1 alien,6,2,4,,Ailanthus,0,0,0,2,0,0,0,351,Ailanthus,28826,species,
59,Poaceae,Poaceae,Aira,hairgrass,h,alien,alien,3 aliens,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Lamiaceae,Lamiaceae,Ajuga,bugle,h,alien,alien,3 aliens,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Lardizabalaceae,,Akebia,chocolate vine,w,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Fabaceae,Leguminosae(M),Albizia,"albizia, silktree",w,alien,alien,"1 alien, perhaps others if cultivated",5,2,3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Malvaceae ,Malvaceae ,Alcea,hollyhock,h,alien,alien,2 natives (1 must be cultivated),22,3,19,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,Rosaceae ,Rubiaceae,Alchemilla,lady's mantel,h,alien,alien,1 alien perhap others if cultivated,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,Liliaceae,Liliaceae,Aletris,colicroot,h,native,native,2 natives,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Alismataceae,Alismataceae,Alisma,water plantain,h,native,native,3 natives,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,Brassicaceae,Brassicaceae,Alliaria,garlic mustard,h,alien,alien,1 alien perhap,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,Liliaceae,Alliaceae ,Allium,onion,h,native,both,"5 natives, 7 aliens perhaps others if cultivated",21,1,20,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,Poaceae,Poaceae,Alloteropsis,summergrass,h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,Betulaceae,Betulaceae,Alnus,alder,w,native,both,"4 natives, 1 aliens perhaps others if cultivated",255,7,248,,Alnus crispa,12,5,31.9146918,20,0.6,25,1.59573459,415,Alnus viridis ssp. Crispa,NA,species,not updated
71,Betulaceae,Betulaceae,Alnus,alder,w,native,both,"4 natives, 1 aliens perhaps others if cultivated",255,7,248,,Green alder,2,2,9.084310015,12,0.166666667,16.66666667,0.757025835,369,Alnus viridis,181892,species,
72,Betulaceae,Betulaceae,Alnus,alder,w,native,both,"4 natives, 1 aliens perhaps others if cultivated",255,7,248,,Hazel alder,12,10,153.5029813,216,0.055555556,4.62962963,0.71066195,133,Alnus serrulata,19468,species,
73,Poaceae,Gramineae,Alopecurus,foxtail,h,native,both,"2 natives, 4 aliens, others cutlivated",2,1,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,Amaranthaceae ,Amaranthaceae ,Alternanthera,"calicoplant, joyweed",h,native,both,"2 natives, 1 alien perhaps others if cultivated",4,0,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Malvaceae ,Malvaceae ,Althaea,marshmallow,h,alien,alien,3 aliens,5,1,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Fabaceae,Leguminosae(P),Alysicarpus,moneywort,h,alien,alien,1 alien (VA&south) perhaps others if cultivated,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,Brassicaceae,Cruciferae ,Alyssum,madwort,h,alien,alien,1 alien perhaps others if cultivated,2,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,Amaranthaceae ,Amaranthaceae ,Amaranthus,"pigweed, amaranth",h,native,both,"13 natives, 8 aliens perhaps 1 more if cultivated",29,0,29,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,Asteraceae,Compositae ,Ambrosia,ragweed,h,native,native,5 natives,48,2,46,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,Rosaceae ,Rosaceae ,Amelanchier,"serviceberry, juneberry, shadbush",w,native,native unless cultivated,"12 natives, perhaps aliens if cultivated",124,5,119,,Amelanchier alnifolia,1,1,0.023327544,22,0.045454545,4.545454545,0.001060343,368,Amelanchier alnifolia,25109,species,
81,Rosaceae ,Rosaceae ,Amelanchier,"serviceberry, juneberry, shadbush",w,native,native unless cultivated,"12 natives, perhaps aliens if cultivated",124,5,119,,Amelanchier laevis,0,0,0,1,0,0,0,357,Amelanchier laevis,182046,species,
82,Rosaceae ,Rosaceae ,Amelanchier,"serviceberry, juneberry, shadbush",w,native,native unless cultivated,"12 natives, perhaps aliens if cultivated",124,5,119,,Common serviceberry,10,8,28.60698525,115,0.086956522,6.956521739,0.248756393,77,Amelanchier arborea,25110,species,
83,Rosaceae ,Rosaceae ,Amelanchier,"serviceberry, juneberry, shadbush",w,native,native unless cultivated,"12 natives, perhaps aliens if cultivated",124,5,119,,Serviceberry,555,464,4123.035291,4970,0.11167002,9.336016097,0.829584566,23,Amelanchier,25108,species,
84,Orchidaceae ,Orchidaceae ,Amerorchis,roundleaf orchid,h,native,native,1 native (NY),0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,Liliaceae,Liliaceae,Amianthium,flypoison,h,native,native,1 native,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,Lythraceae,Lythraceae,Ammannia,redstem,h,native,native unless cultivated,"2 natives, perhaps 1 alien if cultivated",0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,Apiaceae,Apiaceae,Ammi,"toothpickweed, large bullwort",h,alien,alien,2 aliens,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,Poaceae,Poaceae,Ammophila,beachgrass,h,native,both,"2 natives, 1 alien",0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,Fabaceae,Leguminosae(P),Amorpha,"false indigo, indigobush, leadplant",h,native,native,1 native (maybe noxious),24,1,23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Vitaceae,Vitaceae,Ampelopsis,"peppervine, ampelops",w,native,both,"2 natives, 2 aliens perhaps another if cultivated",13,0,13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,Asteraceae,Compositae ,Amphiachyris,broomweed,h,native,native,5 natives,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,Fabaceae,Leguminosae(P),Amphicarpaea,hogpeanut,h,native,native,1 native,7,0,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,Poaceae,Poaceae,Amphicarpum,maidencane,h,native,native,1 native,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,Boraginaceae,Boraginaceae,Amsinckia,fiddleneck,h,native,native,2 natives,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,Apocynaceae,Apocynaceae,Amsonia,bluestar,h,native,native,1 native,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Asteraceae,Asteraceae,Anacyclus,whitebuttons,h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,Primulaceae,Primulaceae,Anagallis,"pimpernel, chaffweed",h,native,both,"1 native, 2 aliens",2,0,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,Asteraceae,Compositae ,Anaphalis,pearly everlasting,h,native,native,1 native,7,0,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,Boraginaceae,Boraginaceae,Anchusa,bugloss,h,alien,alien,"4 aliens, some noxious",1,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,Acanthaceae,Acanthaceae,Andrographis,false waterwillow,h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,Ericaceae ,Ericaceae ,Andromeda,bog rosemary,w,native,native,1 native,7,0,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,Poaceae,Gramineae,Andropogon,"bluestem, broomsedge bluestem",h,native,native unless cultivated,"8 natives, perhaps aliens if cultivated",11,0,11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,Primulaceae,Primulaceae,Androsace,rockjasmine,h,alien,alien,1 alien (natives out west),0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,Ranunculaceae,Ranunculaceae,Anemone,"anemone, thimbleweed",h,native,both,"8 natives, 1 alien perhaps others if cultivated",1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,Apiaceae,Umbelliferae ,Anethum,dill,h,alien,alien,1 alien,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,Apiaceae,Umbelliferae ,Angelica,angelica,h,native,native unless cultivated,"3 natives, perhaps 1 alien if cultivated",5,0,5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,Malvaceae,Malvaceae,Anoda,anoda,h,native,native,1 native (noxious weed),0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Asteraceae,Compositae ,Antennaria,pussytoes,h,native,native unless cultivated,"6 natives, perhaps aliens if cultivated",6,0,6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,Asteraceae,Compositae ,Anthemis,chamomile,h,alien,alien,4 aliens,3,1,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,Poaceae,Poaceae,Anthoxanthum,vernalgrass,h,native,both,"1 native, 1 alien",0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,Apiaceae,Umbelliferae ,Anthriscus,chervil,h,alien,alien,3 aliens,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,Fabaceae,Fabaceae,Anthyllis,kidneyvetch,h,alien,alien,1 alien perhaps others if cultivated,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,Scrophulariaceae,Scrophulariaceae,Antirrhinum,snapdragon,h,alien,alien,1 alien perhaps another if cultivated,7,0,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,Poaceae,Poaceae,Apera,silkybent,h,alien,alien,2 aliens,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,Rosaceae,Rosaceae,Aphanes,parsley piert,h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Fabaceae,Leguminosae(P),Apios,groundnut,h,native,native,1 native,4,0,4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,Apiaceae,Umbelliferae ,Apium,celery,h,alien,alien,3 aliens,30,3,27,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,Orchidaceae,Orchidaceae,Aplectrum,Adam and Eve,h,native,native,1 native,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Poaceae,Poaceae,Apluda,Mauritian grass,h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,Apocynaceae,Apocynaceae,Apocynum,dogbane,h,native,native,3 natives,22,0,22,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,Ranunculaceae,Ranunculaceae,Aquilegia,columbine,h,native,both,"1 native, 1 alien perhaps another if cultivated",12,0,12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Brassicaceae,Brassicaceae,Arabidopsis,"mouseear cress, rock cress",h,alien,alien,1 alien,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,Brassicaceae,Cruciferae ,Arabis,rockcress,h,native,native,12 natives,7,0,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Fabaceae,Leguminosae(P),Arachis,peanut,h,alien,alien,1 alien perhaps others if cultivated,13,4,9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Araliaceae,Araliaceae,Aralia,"devil's walkingstick, spikenard, sarsaparilla",h,native,both,"4 natives, 2 aliens perhaps another if cultivated",8,1,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Ericaceae ,Ericaceae ,Arbutus,madrone,w,alien,alien,"1 alien DE&south, natives are western",12,1,11,,Pacific madrone,16,10,259.8416475,39,0.41025641,25.64102564,6.662606347,268,Arbutus menziesii,23627,species,
127,Viscaceae,Viscaceae,Arceuthobium,dwarf mistletoe,w,native,native,1 native,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,Asteraceae,Compositae ,Arctium,burdock,h,alien,alien,4 aliens,27,1,26,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,Ericaceae ,Ericaceae ,Arctostaphylos,"bearberry, kinnikinnick, manzanita",w,native,native unless cultivated,"1 native (mostly a western species), Perhaps aliens if cultivated",17,2,15,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,Caryophyllaceae,Caprifoliaceae ,Arenaria,sandwort,h,native,both,"1 native (VA&south), 1 alien perhaps others if cultivated",1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,Orchidaceae,Orchidaceae,Arethusa,dragon's mouth,h,native,native,1 native,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,Papaveraceae,Papaveraceae,Argemone,pricklypoppy,h,native,native,2 natives,1,0,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Rosaceae,Rosaceae,Argentina,silverweed,h,native,native,2 native,0,0,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
