,AccSpeciesName,LeafLength,maxLeafLength,meanLeafLength,minLeafLength,LeafArea,maxLeafArea,meanLeafArea,minLeafArea
138,Prunus persica,LeafLength,16,10.75,5,NA,NA,NA,NA
139,Prunus salicina,LeafLength,12,7.2,3,NA,NA,NA,NA
140,Prunus serotina,LeafLength,106,64.525,5,LeafArea,6075,2483.980303,711.3333333
141,Prunus serrulata,LeafLength,12,7.125,3.5,NA,NA,NA,NA
142,Prunus subhirtella,LeafLength,8,5,3,NA,NA,NA,NA
143,Prunus umbellata,LeafLength,57.2,50.01666667,40.1,LeafArea,1990,887.2340426,555
144,Ptelea trifoliata,LeafLength,12,9,6,NA,NA,NA,NA
145,Pyrus calleryana,LeafLength,8,6,4,NA,NA,NA,NA
146,Quercus agrifolia,LeafLength,7.5,4.5,1.5,LeafArea,1825.49,1264.56644,836.38
147,Quercus arizonica,LeafLength,9,6,3,NA,NA,NA,NA
148,Quercus bicolor,LeafLength,21.5,14.85,7.9,LeafArea,6075,6075,6075
149,Quercus coccinea,LeafLength,16,8.5,1,LeafArea,18800,12770.66667,4520
150,Quercus falcata,LeafLength,203.2,104.3852333,7,LeafArea,16205,6454.683478,272.957
151,Quercus imbricaria,LeafLength,20,14,8,LeafArea,6075,6075,6075
152,Quercus laevis,LeafLength,225.4,150.675,10,LeafArea,19512,10578.8,4018
153,Quercus laurifolia,LeafLength,105.6,73.975,3,LeafArea,3706,2007.368421,734.6666667
154,Quercus lyrata,LeafLength,20,15.33333333,10,LeafArea,5163,5163,5163
155,Quercus macrocarpa,LeafLength,31,14.5,5,LeafArea,19000,10099.77778,5267
156,Quercus marilandica,LeafLength,20,10.66666667,5,NA,NA,NA,NA
157,Quercus michauxii,LeafLength,181.6,99.28888889,6,LeafArea,24893,9307.409357,4480
158,Quercus nigra,LeafLength,129.7,78.83621212,3,LeafArea,6570,2551.449862,304.915
159,Quercus pagoda,LeafLength,30,19.5,9,NA,NA,NA,NA
160,Quercus palustris,LeafLength,20,13.75,10,LeafArea,7477,5400.666667,2650
161,Quercus phellos,LeafLength,12,8.5,5,LeafArea,2221.333333,1335.888889,555.6666667
162,Quercus robur,LeafLength,20,11.625,5,LeafArea,8411.364,2156.656704,661.9633333
163,Quercus rubra,LeafLength,153,101,12,LeafArea,22720.76739,6393.514571,866
164,Quercus shumardii,LeafLength,20,15,10,LeafArea,4072,4072,4072
165,Quercus stellata,LeafLength,179.76,102.3184848,4,LeafArea,11790,5421.742857,1041
166,Quercus texana,LeafLength,20,13.75,7.5,NA,NA,NA,NA
167,Quercus velutina,LeafLength,30,16,8,LeafArea,27760,11045.08333,4270.333333
168,Quercus virginiana,LeafLength,97.7,54.12142857,1,LeafArea,3133,1409.902105,526
169,Rhamnus cathartica,LeafLength,7,5,3,LeafArea,3162,740.6530336,160.245614
170,Rhododendron,LeafLength,40,40,40,LeafArea,1720.666667,1133.306667,400.2
171,Rhododendron maximum,LeafLength,20,15,10,LeafArea,12000,7480.380952,2571.333333
172,Rhodotypos scandens,LeafLength,11,7,4,NA,NA,NA,NA
173,Rhus copallinum,LeafLength,150.1,121.25,78.7,LeafArea,6339,3477.205882,343.3333333
174,Rhus typhina,LeafLength,50,50,50,LeafArea,25500,2334.221739,770.27
175,Robinia pseudoacacia,LeafLength,50,33.33333333,20,LeafArea,9400,1800.227778,333.5
176,Rosa acicularis,LeafLength,15,12,7,LeafArea,4794.3,810.9033485,137.5
177,Rosa multiflora,LeafLength,10,7.5,5,LeafArea,119,119,119
178,Rubus idaeus,LeafLength,10,7.5,5,LeafArea,25090,4625.415641,324.52
179,Salix babylonica,LeafLength,160,70.14239286,5,LeafArea,1370.569,595.8798182,16.813
180,Sambucus racemosa,LeafLength,25,17.5,10,LeafArea,31623,4022.040979,335.43
181,Spiraea cantoniensis,LeafLength,6.5,4.5,3,NA,NA,NA,NA
182,Styrax japonicus,LeafLength,50,21.33333333,4,LeafArea,1125,941.8333333,700
183,Syringa reticulata,LeafLength,14,8.625,2.5,NA,NA,NA,NA
184,Taxodium distichum,LeafLength,2,1.45,0.5,LeafArea,40,40,40
185,Thuja occidentalis,LeafLength,0.5,0.28,0.15,LeafArea,10,10,10
186,Tilia americana,LeafLength,224.589,110.7785333,12.7,LeafArea,28680,8515.992973,171.879
187,Tilia cordata,LeafLength,9,6,3,LeafArea,3162,2627.1383,868.5
188,Tilia tomentosa,LeafLength,15,11,8,NA,NA,NA,NA
189,Tilia x europaea,LeafLength,10,8,6,LeafArea,684.3611111,684.3611111,684.3611111
190,Tsuga canadensis,LeafLength,2.5,1.625,0.5,LeafArea,48,48,48
191,Tsuga caroliniana,LeafLength,2.5,1.75,1,NA,NA,NA,NA
192,Ulmus alata,LeafLength,76,50.2125,3,LeafArea,1947,1056.111111,543
193,Ulmus americana,LeafLength,15,10,4,LeafArea,12000,2556.332006,40
194,Ulmus pumila,LeafLength,40,10.91666667,2,LeafArea,1125,857.3466667,700
195,Umbellularia californica,LeafLength,12,7.5,3,LeafArea,1615.197838,1615.131892,1615
196,Vaccinium corymbosum,LeafLength,37.1,18.56666667,3,LeafArea,2200,447.1846154,87
197,Vernicia fordii,LeafLength,200,45.5,5,LeafArea,85000,38319.31429,200.1
198,Viburnum dilatatum,LeafLength,50,16.2,3,LeafArea,3254,2131.266667,700
199,Viburnum plicatum,LeafLength,10,7,4,NA,NA,NA,NA
200,Viburnum rhytidophyllum,LeafLength,20,14,8,NA,NA,NA,NA
201,Zelkova serrata,LeafLength,111.717,51.1,2,LeafArea,4127.429,1436.432696,35.101
