,X.x,cleanedName,sciName,itis_id,rank,notes,X.y,LeafLength,maxLeafLength,meanLeafLength,minLeafLength,Source for LeafLength (mm),LeafArea,maxLeafArea,meanLeafArea,minLeafArea
307,307,Northern white-cedar,Thuja occidentalis,NA,species,mispelled: dash,185,LeafLength,0.5,0.28,0.15,,LeafArea,10,10,10
313,313,Shumard oak,Quercus shumardii,NA,species,known as Shumard's oak,164,LeafLength,20,15,10,,LeafArea,4072,4072,4072
321,321,Gray birch,Betula populifolia,19497,species,,22,LeafLength,10,6.5,3,,LeafArea,2807,1289.01,548.05
324,324,Shingle oak,Quercus imbricaria,19359,species,,151,LeafLength,20,14,8,,LeafArea,6075,6075,6075
326,326,Rhus copallinum,Rhus copallinum,504754,species,,173,LeafLength,150.1,121.25,78.7,,LeafArea,6339,3477.205882,343.3333333
332,332,Osmanthus fragrans,Osmanthus fragrans,505977,species,,109,LeafLength,60,20.7,7,,LeafArea,4002,1763.92,700
335,335,Tungoil tree,Vernicia fordii,505662,species,,197,LeafLength,200,45.5,5,,LeafArea,85000,38319.31429,200.1
339,339,Sweet cherry,Prunus avium,24770,species,,132,LeafLength,15,9.75,3,,LeafArea,3178,2125.428571,1340
340,340,Shagbark hickory,Carya ovata,19242,species,,31,LeafLength,60,45,30,,LeafArea,40900,9508.64,1220
342,342,Eastern sweetshrub,Calycanthus floridus,18142,species,,25,LeafLength,119.72,69.43395,4.772,,LeafArea,4003.312,1679.656,8.224
345,345,Euonymus alatus,Euonymus alatus,27946,species,,59,LeafLength,60,22.41666667,2,,LeafArea,20010,1860.789048,678.48
346,346,Red elderberry,Sambucus racemosa,35326,species,,180,LeafLength,25,17.5,10,,LeafArea,31623,4022.040979,335.43
348,348,Pecan,Carya illinoinensis,19234,species,,29,LeafLength,20,15,10,,LeafArea,2730,2730,2730
352,352,Bigtooth aspen,Populus grandidentata,22463,species,,128,LeafLength,86,46.5,7,,LeafArea,5920,4197.314815,2574.333333
353,353,Quercus robur,Quercus robur,19405,species,,162,LeafLength,20,11.625,5,,LeafArea,8411.364,2156.656704,661.9633333
357,357,Amelanchier laevis,Amelanchier laevis,182046,species,,15,LeafLength,10,7.5,5,,LeafArea,2440,1776.958333,980
358,358,Maackia amurensis,Maackia amurensis,506254,species,,94,LeafLength,70,40,20,,LeafArea,14386.95,5020.1625,1125
359,359,Monterey pine,Pinus radiata,183372,species,,119,LeafLength,20,13,8,,LeafArea,82.7907307,82.7907307,82.7907307
366,366,Carolina laurel cherry,Prunus caroliniana,NA,species,mispelled,133,LeafLength,85.5,71.1,58.8,,LeafArea,2176,1391.8125,695
369,369,Green alder,Alnus viridis,181892,species,,13,LeafLength,6,4.5,3,,LeafArea,3464,1862.479272,64.73563218
370,370,Buxus sempervirens,Buxus sempervirens,501097,species,,23,LeafLength,3,2.25,1.5,,LeafArea,316,140.564899,44.09722222
376,376,Lombardy's poplar,Populus nigra,22468,species,,129,LeafLength,10,7.5,5,,LeafArea,4166.5,2672.785714,1495
381,381,Leatherleaf mahonia,Mahonia bealei,NA,species,not updated,101,LeafLength,519.357,279.09585,18.34,,LeafArea,33803.44,13083.9257,143.485
383,383,Chinese holly,Ilex cornuta,503155,species,,75,LeafLength,40,13,4,,LeafArea,1125,912.5,700
386,386,Chinese privet,Ligustrum sinense,32979,species,,87,LeafLength,60,29.55216667,2,,LeafArea,1334,568.4884,8.075
390,390,Tree privet,Ligustrum lucidum,503450,species,,86,LeafLength,17,11.5,6,,LeafArea,4800,2273.472667,1000.5
396,396,Silver poplar,Populus alba,NA,species,also known as white poplar,124,LeafLength,12,5.76,3,,LeafArea,3162,2373.108333,1276.42
397,397,Mountain maple,Acer spicatum,28758,species,,10,LeafLength,12,9,6,,LeafArea,5570,5540,5510
400,400,American sweetgum,Liquidambar styraciflua,19027,species,also known as sweetgum,89,LeafLength,122.3,69,7,,LeafArea,12898,6079.827778,1674.666667
407,407,Eriobotrya japonica,Eriobotrya japonica,502403,species,,58,LeafLength,30,25,20,,LeafArea,9056,9056,9056
416,416,Rosa acicularis,Rosa acicularis,24812,species,,176,LeafLength,15,12,7,,LeafArea,4794.3,810.9033485,137.5
417,417,Rubus idaeus,Rubus idaeus,24947,species,,178,LeafLength,10,7.5,5,,LeafArea,25090,4625.415641,324.52
426,426,Loblolly pine,Pinus taeda,18037,species,,121,LeafLength,245.372,77.60442308,4.786,,LeafArea,361.5,140.4997625,4.574
427,427,Fremont cottonwood,Populus fremontii,22459,species,mispelled,127,LeafLength,100.21,56.48266667,18.48,,LeafArea,7579,3189.342857,199
430,430,Eastern cottonwood,Populus deltoides,22445,species,,126,LeafLength,18,14,10,,LeafArea,8400,7470,6075
432,432,Post oak,Quercus stellata,19422,species,,165,LeafLength,179.76,102.3184848,4,,LeafArea,11790,5421.742857,1041
437,437,Norway spruce,Picea abies,183289,species,,115,LeafLength,2.5,1.8,1,,LeafArea,237,84.46567143,11.6
447,447,Prunus umbellata,Prunus umbellata,24805,species,,143,LeafLength,57.2,50.01666667,40.1,,LeafArea,1990,887.2340426,555
61,61,White-cedar,Chamaecyparis thyoides,18046,species,,40,LeafLength,0.3,0.216666667,0.15,,NA,NA,NA,NA
96,96,Black ash,Fraxinus nigra,32945,species,,69,LeafLength,40,32.5,25,,NA,NA,NA,NA
105,105,Carolina hemlock,Tsuga caroliniana,183399,species,,191,LeafLength,2.5,1.75,1,,NA,NA,NA,NA
106,106,Tatarian honeysuckle,Lonicera tatarica,35306,species,,93,LeafLength,8,5.25,2.5,,NA,NA,NA,NA
126,126,Kentucky yellowwood,Cladrastis kentukea,26539,species,,42,LeafLength,40,40,40,,NA,NA,NA,NA
138,138,Chalk maple,Acer leucoderme,28761,species,,9,LeafLength,20,15,10,,NA,NA,NA,NA
157,157,Baccharis halimifolia,Baccharis halimifolia,35682,species,,17,LeafLength,8,5,2,,NA,NA,NA,NA
162,162,Southern catalpa,Catalpa bignonioides,34313,species,,35,LeafLength,21,17.5,14,,NA,NA,NA,NA
174,174,Japanese apricot,Prunus mume,506231,species,,136,LeafLength,10,6.125,3.5,,NA,NA,NA,NA
179,179,Weeping knoss dogwood,Cornus kousa,NA,species,not updated,46,LeafLength,20,11.25,6,,NA,NA,NA,NA
181,181,Cornus macrophylla,Cornus macrophylla,896096,species,,47,LeafLength,18,14.33333333,9,,NA,NA,NA,NA
201,201,Nutmeg hickory,Carya myristiciformis,19239,species,,30,LeafLength,60,45,30,,NA,NA,NA,NA
202,202,Persian ironwood,Parrotia persica,895220,species,,111,LeafLength,10,8,6,,NA,NA,NA,NA
203,203,Osage orange,Maclura pomifera,19102,species,,95,LeafLength,12,8.25,4,,NA,NA,NA,NA
214,214,Washington hawthorn,Crataegus phaenopyrum,24593,species,,54,LeafLength,10,7.5,5,,NA,NA,NA,NA
225,225,Viburnum plicatum,Viburnum plicatum,35272,species,,199,LeafLength,10,7,4,,NA,NA,NA,NA
233,233,Cherrybark oak,Quercus pagoda,195195,species,,159,LeafLength,30,19.5,9,,NA,NA,NA,NA
242,242,Jetbead,Rhodotypos scandens,25298,species,,172,LeafLength,11,7,4,,NA,NA,NA,NA
243,243,Black mulberry,Morus nigra,19069,species,,105,LeafLength,20,12.66666667,6,,NA,NA,NA,NA
267,267,Tanoak,Lithocarpus,19463,species,,107,LeafLength,12,9,6,,NA,NA,NA,NA
280,280,Callery pear,Pyrus calleryana,504706,species,,145,LeafLength,8,6,4,,NA,NA,NA,NA
285,285,Kwanzan cherry,Prunus serrulata,NA,species,more commonly known as japanese flowering cherry,141,LeafLength,12,7.125,3.5,,NA,NA,NA,NA
288,288,Chinese chestnut,Castanea mollissima,501318,species,,33,LeafLength,18,13.5,9,,NA,NA,NA,NA
303,303,Blackjack oak,Quercus marilandica,19374,species,,156,LeafLength,20,10.66666667,5,,NA,NA,NA,NA
310,310,Blue spruce,Picea pungens,183307,species,,117,LeafLength,3,2.25,1.5,,NA,NA,NA,NA
