"userPlantName","cleanedPlantName","sciName","itis_id","rank","notes","isConifer"
"Blueberry spp.","Blueberry","Vaccinium","23571","genus","",0
"Boxelder maple","Boxelder maple","Acer negundo","28749","species","",0
"California-laurel","California laurel","Umbellularia","18207","species","",0
"Viburnum spp.","Viburnum","Viburnum","35249","genus","",0
"American witch-hazel","American witchhazel","Hamamelis virginiana","19033","species","",0
"Hawthorn sp.","Hawthorn","Crataegus","24539","genus","",0
"8",NA,NA,NA,NA,"",0
"9",NA,NA,NA,NA,"",0
"Viburnum sp","Viburnum","Viburnum","35249","genus","",0
"Persimmon spp.","Persimmon","Diospyros","23853","genus","",0
"Crab apple sp","Apple","Malus","25254","genus","",0
"Yew spp.","Yew","Taxus","194882","genus","",1
"Honeysuckle spp.","Honeysuckle","Lonicera","35281","genus","",0
"Burr oak","Bur oak","Quercus macrocarpa","19287","species","",0
"Buxus spp.","Buxus","Buxus","28022","genus","",0
"Yaupon","Yaupon","Ilex vomitoria","27986","species","",0
"Pear spp.","Pear","Pyrus","25294","genus","",0
"Ficus spp.","Ficus","Ficus","19081","species","",0
"Carpinus spp.","Carpinus","Carpinus","19503","species","",0
"Feijoa sellowiana","Acca sellowiana","Acca sellowiana","834974","species","",0
"Olea spp.","Olea","Olea","32989","genus","",0
"Osmanthus fragrans","Osmanthus fragrans","Osmanthus fragrans","505977","species","",0
"Illicium spp.","Illicium","Illicium","18082","genus","",0
"Magnolia figo","Magnolia figo","Magnolia figo",NA,"species","according to Global Names Resolver it's recognized in databases like Open Tree of Life Reference Taxonomy",0
"Asimina spp.","Asimina","Asimina","18108","genus","",0
"Eastern sweet shrub","Eastern sweetshrub","Calycanthus floridus","18142","species","",0
"Lilac spp.","Lilac","Syringa","32994","genus","",0
"Virburnum","Viburnum","Viburnum","35249","genus","",0
"Gardenia spp.","Gardenia","Gardenia","35159","genus","",0
"Forsythia spp.","Forsythia","Forsythia","32961","genus","",0
"Carolina laurel cherry","Carolina laurelcherry","Prunus caroliniana","24771","species","",0
"White spruce","White spruce","Picea glauca","183295","species","",1
"Cherry spp.","Cherry","Prunus","24762","genus","",0
"Amelanchier alnifolia","Amelanchier alnifolia","Amelanchier alnifolia","25109","species","",0
"Green alder","Green alder","Alnus viridis","181892","species","",0
"Buxus sempervirens","Buxus sempervirens","Buxus sempervirens","501097","species","",0
"Euonymus japonicus","Euonymus japonicus","Euonymus japonicus","894987","species","",0
"Nerium oleander","Nerium oleander","Nerium oleander","30184","species","",0
"Viburnum tinus","Viburnum tinus","Viburnum tinus","505680","species","",0
"Nothoscordum gracile (onionweed)","Nothoscordum gracile","Nothoscordum gracile","503967","species","",0
"Texas sophora","Styphnolobium affine","Styphnolobium affine","820256","species","",0
"Lombardy poplar","Lombardy's poplar","Populus nigra","22468","species","",0
"Yucca rostrata","Yucca rostrata","Yucca rostrata","43150","species","",0
"American beautyberry","American beautyberry","Callicarpa americana","32144","species","",0
"Carolina cherry laurel","Carolina laurelcherry","Prunus caroliniana","24771","species","",0
"Gum bumelia","Gum bully","Sideroxylon lanuginosum","505219","species","",0
"Leatherleaf mahonia","Beale's barberry","Berberis bealei","509499","species","",0
"Stretchberry","Stretchberry","Forestiera pubescens","32957","species","",0
"Chinese holly","Chinese holly","Ilex cornuta","503155","species","",0
"Heavenly bamboo","Heavenly bamboo","Nandina domestica","18848","species","",0
"Groundsel tree","Eastern baccharis","Baccharis halimifolia","35682","species","",0
"Chinese privet","Chinese privet","Ligustrum sinense","32979","species","",0
"Fishpole bamboo","Golden bamboo","Phyllostachys aurea","42023","species","",0
"Japanese spindle tree","Japanese spindletree","Euonymus japonicus","894987","species","",0
"Common gardenia","Common gardenia","Gardenia volkensii","845972","species","",0
"Tree privet","Tree privet","Ligustrum lucidum","503450","species","",0
"Reeves spiraea","Reeve's meadowsweet","Spiraea cantoniensis","505334","species","",0
"Buttonwood-mangrove","Button mangrove","Conocarpus erectus","27766","species","",0
"Strawberry bush","Strawberry bush","Euonymus americanus","27947","species","",0
"Winged eonymous","Winged euonymus","Euonymus alatus","27946","species","",0
"Viburnum rhytidophyllum","Viburnum rhytidophyllum","Viburnum rhytidophyllum","505679","species","",0
"Silver poplar","White poplar","Populus alba","22451","species","",0
"Mountain maple","Mountain maple","Acer spicatum","28758","species","",0
"Carolina laurelcherry","Carolina laurelcherry","Prunus caroliniana","24771","species","",0
"Bigleaf snowbell","Bigleaf snowbell","Styrax grandifolius","505399","species","",0
"American sweetgum","American sweetgum","Liquidambar styraciflua","19027","species","",0
"Sweetbay magnolia","Sweetbay","Magnolia virginiana","18070","species","",0
"Prunus spp. (apricot)","Prunus","Prunus","24762","genus","",0
"Prunus spp. (cherry)","Prunus","Prunus","24762","genus","",0
"Punica spp.","Punica","Punica","27277","genus","",0
"Camptotheca spp.","Camptotheca","Camptotheca","500635","species","",0
"Viburnum awabuki","Sweet arrowwood","Viburnum odoratissimum","505678","species","",0
"Eriobotrya japonica","Eriobotrya japonica","Eriobotrya japonica","502403","species","",0
"Silverbell spp.","Silverbell","Halesia","23863","species","",0
"Black haw","Black haw","Viburnum prunifolium","35253","species","",0
"Pussy willow","Pussy willow","Salix discolor","22524","species","",0
"Prunus spp.(plum)","Prunus","Prunus","24762","genus","",0
"Cockspur hawthorn","Cockspur hawthorn","Crataegus crus-galli","24552","species","",0
"Honey locust","Honey locust","Gleditsia triacanthos","26714","species","",0
"Winged euonymus","Winged euonymus","Euonymus alatus","27946","species","",0
"Prunus laurocerasus","Prunus laurocerasus","Prunus laurocerasus","24786","species","",0
"Japanese cherry","Japanese flowering cherry","Prunus serrulata","506233","species","",0
"Alnus crispa","Alnus viridis ssp. crispa","Alnus viridis ssp. crispa","181894","species","",0
"Rosa acicularis","Rosa acicularis","Rosa acicularis","24812","species","",0
"Rubus idaeus","Rubus idaeus","Rubus idaeus","24947","species","",0
"Lonicera involucrata","Lonicera involucrata","Lonicera involucrata","35297","species","",0
"Franklin tree","Franklin tree","Franklinia alatamaha","21384","species","",0
"Crepe myrtle spp.","Crepe myrtle","Lagerstroemia","27109","genus","",0
"Prunus salicina","Prunus salicina","Prunus salicina","506232","species","",0
"Na",NA,NA,NA,NA,"",NA
"Tilia tomentosa","Tilia tomentosa","Tilia tomentosa","845764","species","",0
"Ulmus carpinifolia","Ulmus procera","Ulmus procera","19056","species","",0
"Pitch pine","Pitch pine","Pinus rigida","183376","species","",1
"Sassafras spp.","Sassafras","Sassafras","18157","genus","",0
"Cedar elm","Cedar elm","Ulmus crassifolia","19052","species","",0
"Loblolly pine","Loblolly pine","Pinus taeda","18037","species","",1
"Prickly ash","Pricklyash","Zanthoxylum","28849","species","",0
"Fremont cottonwood","Fremont's cottonwood","Populus fremontii","22459","species","",0
"Rosa spp.","Rosa","Rosa","24807","species","",0
"Cypress spp.","Cypress","Cupressus","183455","genus","",0
"Elderberry spp.","Elderberry","Sambucus","35315","genus","",0
"Eastern cottonwood","Eastern cottonwood","Populus deltoides","22445","species","",0
"Azalea, rhododendron spp.","Rhododendron","Rhododendron","23700","genus","",0
"Post oak","Post oak","Quercus stellata","19422","species","",0
"Shortleaf pine","Shortleaf pine","Pinus echinata","183335","species","",1
"Syringa vulgaris","Syringa vulgaris","Syringa vulgaris","32996","species","",0
"Horse chestnut","Horse chestnut","Aesculus hippocastanum","28721","species","",0
"Arizona white oak","Arizona white oak","Quercus arizonica","19292","species","",0
"Norway spruce","Norway spruce","Picea abies","183289","species","",1
"Shining willow","Shining willow","Salix lucida","22554","species","",0
"Myrobalan plum","Myrobalan plum","Prunus cerasifera","24772","species","",0
"Magnolia kobus","Magnolia kobus","Magnolia kobus","895295","species","",0
"Prunus serulata (japanese cherry blossom)","Prunus serrulata","Prunus serrulata","506233","species","",0
"Prunus sargentii","Prunus sargentii","Prunus sargentii",NA,"species","according to Global Names Resolver it's recognized in databases like The International Plant Names Index",0
"Amelanchier","Amelanchier","Amelanchier","25108","genus","",0
"Prunus rosaceae","Prunus","Prunus","24762","genus","",0
"Staghorn sumac","Staghorn sumac","Rhus typhina","28777","species","",0
"Cottonwood and poplar spp.","Populus","Populus","22444","genus","",0
"Buckthorn spp.","Buckthorn","Rhamnus","28561","genus","",0
"Quercus hemispherica","Quercus hemisphaerica","Quercus hemisphaerica","195108","species","",0
"Prunus umbellata","Prunus umbellata","Prunus umbellata","24805","species","",0
"Ilex ambigua","Ilex ambigua","Ilex ambigua","27987","species","",0
"Hibiscus coccineus albus","Hibiscus coccineus","Hibiscus coccineus","21625","species","",0
"Quercus nuttallii","Quercus texana","Quercus texana","195188","species","",0
"Hibiscus moscheutos","Hibiscus moscheutos","Hibiscus moscheutos","21612","species","",0
"Eastern redcedar","Eastern redcedar","Juniperus virginiana","18048","species","",1
"Southern arrowwood","Southern arrowwood","Viburnum dentatum","35251","species","",0
"Cucumbertree","Cucumbertree","Magnolia acuminata","18071","species","",0
"Redcedar/juniper spp.","Juniperus","Juniperus","18047","genus","",1
"Red pine","Red pine","Pinus resinosa","183375","species","",1
"Witch-hazel","Witch hazel","Hamamelidaceae","19025","genus","",0
"Winged sumac","Winged sumac","Rhus copallinum","504754","species","",0
"Lonicera sempervirens","Lonicera sempervirens","Lonicera sempervirens","35303","species","",0
"Water hickory","Water hickory","Carya aquatica","845188","species","",0
"Blackgum tupelo","Blackgum","Nyssa sylvatica","27821","species","",0
"Yaupon holly","Yaupon","Ilex vomitoria","27986","species","",0
"Chastetree","Chastetree","Vitex","32220","genus","",0
"Duranta","Duranta","Duranta","32168","genus","",0
"Golden thryallis","Galphimia glauca","Galphimia glauca","847560","species","",0
"Lantana","Lantana","Lantana","32173","genus","",0
"Southern red cedar","Southern red-cedar","Juniperus virginiana var. silicicola","528648","species","",1
"Cabbage palmetto","Cabbage palmetto","Sabal palmetto","42506","species","",0
"Silverberry","Silverberry","Elaeagnus commutata","27771","species","",0
"Loropetalum","Loropetalum","Loropetalum",NA,"genus","according to Global Names Resolver it's recognized in databases like Open Tree of Life Reference Taxonomy",0
"Chinese elm","Chinese elm","Ulmus parvifolia","19055","species","",0
"Windy salvia","Salvia","Salvia","32680","genus","a hybrid I believe",0
"Eastern baccharis","Eastern baccharis","Baccharis halimifolia","35682","species","",0
"Pine spp.","Pine","Pinus","18035","genus","",1
"Nannyberry","Nannyberry","Viburnum lentago","35266","species","",0
"Hophornbeam spp.","Hophornbeam","Ostrya","19508","genus","",0
"Tree of heaven","Tree of heaven","Ailanthus altissima","28827","species","",0
"Tupelo spp.","Tupelo","Nyssa","27820","genus","",0
"Hazelnut spp.","Hazelnut","Corylus","19505","genus","",0
"Fringetree spp.","Fringetree","Chionanthus","32948","species","",0
"Spicebush spp.","Spicebush","Lindera","18146","genus","",0
"Bebb willow","Bebb's willow","Salix bebbiana","22507","species","",0
"Dpwny arrowwood","Downy arrowwood","Viburnum rafinesqueanum","823482","species","",0
"Downy arrowwood","Downy arrowwood","Viburnum rafinesqueanum","823482","species","",0
"Deutzia spp.","Deutzia","Deutzia","24324","genus","",0
"Fig spp.","Fig","Ficus","19081","genus","",0
"Muscadine","Muscadine","Vitis rotundifolia","28609","species","",0
"Freeman maple","Freeman's maple","Acer X freemanii","500949","species","",0
"Beaked hazelnut","Beaked hazelnut","Corylus cornuta","19507","species","",0
"Locust spp.","Locust","Robinia","26184","genus","",0
"Salvia","Salvia","Salvia","32680","species",NA,0
"Virginia roundleaf birch","Virginia roundleaf birch","Betula uber","19502","species",NA,0
"Japanese snowball","Japanese snowball","Viburnum plicatum","35272","species",NA,0
"Bigtooth maple","Bigtooth maple","Acer grandidentatum","28760","species",NA,0
"Viburnum lantana","Viburnum lantana","Viburnum lantana","35264","species",NA,0
"Linden arrowwood","Linden arrowwood","Viburnum dilatatum","505677","species",NA,0
"Fraser fir","Fraser fir","Abies fraseri","181829","species",NA,1
"Red spruce","Red spruce","Picea rubens","18034","species",NA,1
"Pinkshell azalea","Pinkshell azalea","Rhododendron vaseyi","23730","species",NA,0
"Crapemyrtle","Crapemyrtle","Lagerstroemia indica","27110","species",NA,0
"Smooth sumac","Smooth sumac","Rhus glabra","28782","species",NA,0
"Chinkapin oak","Chinkapin oak","Quercus muehlenbergii","504714","species",NA,0
"Box elder","Box elder","Acer negundo","28749","species",NA,0
"Clethra alnifolia","Clethra alnifolia","Clethra alnifolia","23454","species",NA,0
"Mountain-ash spp.","Mountain-ash","Sorbus","25318","genus",NA,0
"Gambel oak","Gambel's oak","Quercus gambelii","19337","genus",NA,0
"Boxwood spp.","Buxus","Buxus","28022","genus",NA,0
"L",NA,NA,NA,NA,NA,NA
"Sweetshrub spp.","Sweetshrub","Calycanthus","18139","genus",NA,NA
"Hornbeam spp.","Hornbeam","Carpinus","19503","genus",NA,NA
"Chestnut spp.","Chestnut","Castanea","19451","genus",NA,NA
